stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
iron steel	iron and steel	iron and steel|&|Iron and steel|&|Iron and Steel	3	28,3255087748	140,219394211	211,88775337	9	573	x	
industri iron steel	iron and steel industry	iron and steel industry|&|Iron and Steel Industry	4	19,857118079	109,782671735	191,849567718	4	192	x	
iron rod	iron rod	iron rod	2	7,8681968819	56,2380272935	142,947649057	1	61	x	
irradi	irradiation	irradiation	1	6,9499913276	43,2413020008	145,806232179	4	284	x	
agricultur irrig	irrigated agriculture	irrigated agriculture	2	4,7209181291	33,7428163761	143,899996052	1	47	x	
island	island	island|&|Islands|&|islands|&|Island	1	18,864262175	102,071648084	120,613200001	11	636	x	
island sustain	islands of sustainability	islands of sustainability|&|island sustainability|&|island of sustainability	3	6,2945575055	38,0751436075	141,321005285	3	160	x	
iso	ISO	ISO|&|iso	1	18,864262175	95,134791423	273,522965753	15	781	x	
environment issu sustain	issue of environmental sustainability	issue of environmental sustainability	4	5,9571354237	34,648562585	196,610489839	3	188	x	
jamaica	Jamaica	Jamaica	1	4,9642795197	34,3276206389	166,692180021	2	68	x	
japan	Japan	Japan|&|japan	1	50,6356511014	211,357511341	207,020845522	35	1909	x	
jilin provinc	Jilin Province	Jilin Province	2	7,8681968819	50,7842088087	113,915658875	2	100	x	
autonomi job	job autonomy	job autonomy	2	7,8681968819	45,330390324	302,420368103	4	171	x	
characterist job	job characteristics	job characteristics	2	6,2945575055	38,0751436075	332,48965408	3	101	x	
creation job	job creation	job creation	2	4,7209181291	30,4705252852	229,796395955	2	105	x	
demand job	job demands	job demands	2	9,4418362583	57,1127154113	249,21043089	3	152	x	
design job	job design	job design	2	6,2945575055	38,0751436075	300,987737272	3	151	x	
job perform	job performance	job performance	2	6,2945575055	38,0751436075	229,897178546	3	141	x	
job qualiti	job quality	job quality	2	9,4418362583	67,4856327522	210,053370653	1	58	x	
job resourc	job resource	job resource|&|job resources	2	11,0154756347	66,6315013132	322,527545415	3	144	x	
job satisfact	job satisfaction	job satisfaction	2	66,0928538079	268,103612282	1113,59542738	22	1018	x	
job-satisfact	job-satisfaction	job-satisfaction	1	9,9285590395	52,6758419438	339,813047056	10	406	x	
kapiti telecentr	Kapiti Telecentre	Kapiti Telecentre	2	6,2945575055	44,9904218348	197,303348562	1	35	x	
challeng key	key challenge	key challenge	2	6,2945575055	36,2643122592	152,175804185	4	247	x	
compon key	key component	key component|&|key components	2	6,2945575055	36,2643122592	196,716610733	4	214	x	
driver key	key drivers	key drivers|&|key driver	2	6,2945575055	36,2643122592	129,559840323	4	268	x	
factor key	key factor	key factor|&|key factors|&|Key factors	2	20,4573118929	93,746901968	189,288348675	13	799	x	
issu key	key issues	key issues|&|key issue	2	9,4418362583	50,5681332296	144,904169049	6	345	x	
key paramet	key parameters	key parameters	2	4,7209181291	28,5563577056	126,736627598	3	184	x	
key technolog	key technologies	key technologies|&|Key Technologies	2	6,2945575055	38,0751436075	188,039206755	3	121	x	
co2e kg	kg CO2e	kg CO2e	2	4,7209181291	33,7428163761	134,750640415	1	87	x	
kind water	kinds of water	kinds of water	3	4,7209181291	30,4705252852	209,601220028	2	102	x	
base knowledg	knowledge base	knowledge base|&|knowledge based|&|based knowledge	2	7,8681968819	45,330390324	181,596440354	5	331	x	
economi knowledg	knowledge economy	knowledge economy	2	7,8681968819	47,5939295094	164,471200862	3	206	x	
knowledg manag	knowledge management	knowledge management|&|Knowledge management|&|Knowledge Management	2	45,635541915	199,651969456	423,220964996	17	1102	x	
knowledg transfer	knowledge transfer	knowledge transfer	2	14,1627543874	75,8521998443	208,207808009	6	317	x	
knowledg worker	knowledge workers	knowledge workers|&|Knowledge workers	2	25,1782300221	127,605029885	495,518667656	8	329	x	
curv kuznet	kuznets curve	kuznets curve|&|kuznets curves|&|Kuznets curves	2	14,1627543874	73,6690016273	283,665515802	10	571	x	
labour market	labour market	labour market|&|labour markets	2	14,1627543874	70,1096971055	219,794895197	9	526	x	
data lack	lack of data	lack of data	3	4,7209181291	28,5563577056	115,151623888	3	189	x	
chang land use	land use change	land use change|&|changes in land use	3	11,9142708474	63,2110103326	154,892169411	5	339	x	
chang land-us	land-use change	land-use change	2	4,7209181291	28,5563577056	123,401043068	3	205	x	
landfil	landfill	landfill|&|landfills	1	21,8428298869	104,296429655	170,869954643	18	1115	x	
amount larg	large amounts	large amounts|&|large amount|&|Large amounts	2	15,7363937638	76,2416688891	278,574619159	10	571	x	
extent larg	large extent	large extent	2	7,8681968819	43,5746529293	116,981919341	5	255	x	
larg organ	large organizations	large organizations	2	4,7209181291	28,5563577056	209,661775874	3	159	x	
larg part	large part	large part	2	11,0154756347	58,9961554345	180,499170578	6	399	x	
larg quantiti	large quantities	large quantities	2	7,8681968819	43,5746529293	119,828204326	5	315	x	
larg varieti	large variety	large variety	2	4,7209181291	28,5563577056	278,011324807	3	130	x	
contribut largest	largest contribution	largest contribution|&|largest contributions	2	4,7209181291	28,5563577056	247,577287191	3	218	x	
largest share	largest share	largest share	2	4,7209181291	28,5563577056	131,912833627	3	232	x	
laser	laser	laser|&|Laser	1	8,9357031355	55,5959597153	208,125181686	4	188	x	
last year	last years	last years	2	4,7209181291	28,5563577056	185,718495691	3	145	x	
1970 late	late 1970s	late 1970s	2	4,7209181291	28,5563577056	149,313978359	3	121	x	
approach lca	LCA approach	LCA approach	2	4,7209181291	28,5563577056	136,819774019	4	300	x	
lca method	LCA method	LCA method|&|LCA methods	2	11,0154756347	57,2981123768	202,753394258	7	506	x	
lca methodolog	LCA methodology	LCA methodology	2	11,0154756347	58,9961554345	177,642308131	6	449	x	
lca result	LCA results	LCA results	2	12,589115011	67,4241776394	278,48141056	8	458	x	
lca studi	LCA studies	LCA studies	2	11,0154756347	58,9961554345	167,025900599	6	398	x	
exchang leader-memb	leader-member exchange	leader-member exchange	2	7,8681968819	47,5939295094	196,164151884	3	135	x	
legisl	legislation	legislation|&|Legislative	1	19,857118079	93,6799346774	139,314888603	25	1480	x	
balanc life	life balance	life balance	2	9,4418362583	50,5681332296	513,785036667	6	252	x	
cycl life	life cycle	life cycle|&|Life Cycle|&|Life cycle|&|life cycles	2	141,627543874	404,637258542	2136,51042592	258	15703	x	
analysi cycl life	life cycle analysis	life cycle analysis|&|Life Cycle Analysis|&|Life cycle analysis|&|lca	3	79,4284723159	273,963822013	527,569893989	32	1564	x	
approach cycl life	life cycle approach	life cycle approach|&|Life Cycle Approach	3	7,9428472316	43,9130686939	124,190100204	4	238	x	
assess cycl life	life cycle assessment	life cycle assessment|&|Life Cycle Assessment|&|Life cycle assessment|&|life cycle assessments|&|Life Cycle Assessments|&|LCA|&|lca|&|LCAs	3	490,470816551	974,894780812	1837,62744337	146	9317	x	
assess cycl life method	life cycle assessment method	life cycle assessment method|&|Life Cycle Assessment Methods	4	5,9571354237	34,648562585	121,598047316	3	224	x	
cost cycl life	life cycle cost	life cycle cost|&|Life Cycle Cost|&|LCC|&|lcc	3	13,8999826553	76,8478702142	173,832875417	4	203	x	
cycl data life	life cycle data	life cycle data|&|Life Cycle Data	3	7,9428472316	43,9130686939	193,781165157	6	360	x	
cycl emiss life	life cycle emissions	life cycle emissions|&|emissions during the life cycle|&|life cycle emission	3	5,9571354237	34,648562585	117,087797916	3	217	x	
cycl energi life	life cycle energy	life cycle energy|&|life cycle of the energy	3	7,9428472316	43,9130686939	161,973403975	7	408	x	
cycl energi life requir	life cycle energy requirements	life cycle energy requirements	4	5,9571354237	37,0639731435	107,553891067	2	132	x	
cycl environment impact life	life cycle environmental impacts	life cycle environmental impacts|&|life cycle environmental impact|&|environmental impact throughout the life cycle|&|environmental impacts along the life cycle	4	11,9142708474	63,2110103326	190,235372869	5	295	x	
cycl environment life perform	life cycle environmental performance	life cycle environmental performance|&|environmental life cycle performance	4	9,9285590395	54,8913358673	193,640376541	4	239	x	
cycl emiss ghg life	life cycle GHG emissions	life cycle GHG emissions|&|life cycle GHG emission	4	13,8999826553	86,4826040016	178,101273983	2	166	x	
cycl ga greenhous life	life cycle greenhouse gas	life cycle greenhouse gas|&|Life Cycle Greenhouse Gas	4	7,9428472316	43,9130686939	307,87981423	6	441	x	
cycl emiss ga greenhous life	Life Cycle Greenhouse Gas Emissions	Life Cycle Greenhouse Gas Emissions|&|life cycle greenhouse gas emissions	5	7,9428472316	43,9130686939	242,553179516	4	319	x	
cycl impact life	life cycle impact	life cycle impact|&|life cycle impacts|&|Life cycle impact|&|Life Cycle Impact	3	23,8285416948	105,560877355	306,286761079	17	987	x	
assess cycl impact life	life cycle impact assessment	life cycle impact assessment|&|Life cycle impact assessment	4	19,857118079	98,6703149547	147,371236219	7	448	x	
cycl inventori life	life cycle inventory	life cycle inventory|&|life cycle inventories|&|Life cycle inventory	3	17,8714062711	86,4168896917	200,823782141	13	924	x	
cycl data inventori life	Life cycle inventory data	Life cycle inventory data|&|life cycle inventory data	4	7,9428472316	43,9130686939	110,120312867	4	312	x	
cycl life manag	life cycle management	life cycle management|&|Life cycle management	3	17,8714062711	84,3119412097	141,174813973	9	594	x	
cycl life perspect	life cycle perspective	life cycle perspective	3	15,8856944632	78,9362519638	197,403457924	7	441	x	
cycl life simul	life cycle simulation	life cycle simulation	3	5,9571354237	37,0639731435	194,83536843	2	101	x	
cycl life stage	life cycle stage	life cycle stage|&|life cycle stages|&|stage of the life cycle|&|stage in the life cycle|&|stages of the life cycle	3	27,7999653106	125,573270176	332,818127214	12	768	x	
life satisfact	life satisfaction	life satisfaction	2	6,2945575055	40,627367047	207,019505207	2	103	x	
life span	life span	life span	2	4,7209181291	28,5563577056	152,914305598	3	202	x	
analysi life-cycl	life-cycle analysis	life-cycle analysis	2	9,4418362583	50,5681332296	188,325398421	6	375	x	
assess life-cycl	life-cycle assessment	life-cycle assessment|&|life-cycle assessments|&|Life-cycle assessment	2	113,302035099	342,214868073	518,134229745	64	3860	x	
design life-cycl	life-cycle design	life-cycle design	2	4,7209181291	30,4705252852	129,952564923	2	108	x	
impact life-cycl	life-cycle impacts	life-cycle impacts	2	6,2945575055	38,0751436075	119,280246767	3	222	x	
lifecycl	lifecycle	lifecycle|&|Lifecycle|&|lifecycles	1	22,8356857908	107,731924879	198,91696122	24	1172	x	
assess lifecycl	lifecycle assessment	lifecycle assessment|&|Lifecycle Assessment	2	7,8681968819	45,330390324	195,195257283	4	180	x	
lifespan	lifespan	lifespan|&|Lifespan	1	10,9214149434	67,9506174298	130,486493627	7	440	x	
definit lifespan	lifespan definitions	lifespan definitions|&|definition of lifespan	2	4,7209181291	30,4705252852	248,910709169	2	90	x	
distribut lifespan	lifespan distribution	lifespan distribution|&|Lifespan distribution	2	9,4418362583	60,9410505705	201,005330898	2	98	x	
extens lifespan	lifespan extension	lifespan extension	2	6,2945575055	38,0751436075	122,890240614	3	181	x	
lifestyl	lifestyle	lifestyle|&|lifestyles	1	14,8928385592	82,337003801	132,174315497	10	550	x	
light qualiti	lighting quality	lighting quality|&|LIGHTING QUALITY	2	7,8681968819	56,2380272935	259,523053186	1	66	x	
light regul	lighting regulations	lighting regulations	2	4,7209181291	33,7428163761	183,146068229	1	37	x	
limit resourc	limited resources	limited resources	2	6,2945575055	36,2643122592	141,692826352	4	264	x	
factor limit	limiting factors	limiting factors	2	7,8681968819	50,7842088087	178,264058832	2	105	x	
lithuania	Lithuania	Lithuania	1	4,9642795197	34,3276206389	119,030274505	2	126	x	
attent littl	little attention	little attention	2	7,8681968819	43,5746529293	199,408971077	5	350	x	
littl research	little research	little research	2	4,7209181291	28,5563577056	152,995217149	3	170	x	
author local	local authority	local authority|&|local authorities	2	9,4418362583	50,5681332296	209,437366941	6	375	x	
commun local	local communities	local communities|&|local community	2	7,8681968819	47,5939295094	116,017383383	3	274	x	
develop econom local	local economic development	local economic development	3	5,9571354237	37,0639731435	167,418365116	2	90	x	
govern local	local government	local government|&|Local Government	2	7,8681968819	45,330390324	216,73363171	4	265	x	
