stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
concern major	major concern	major concern|&|major concerns	2	7,86819688189	46,7649322286	196,156148134	5,0	295,0	 
analysi benefit cost	cost benefit analysis	cost benefit analysis	3	5,95713542369	37,0639731435	186,64486198	3,0	94,0	 
data mine	data mining	data mining	2	6,29455750551	43,1795904865	183,372201036	2,0	118,0	 
connect vehicl	connected vehicles	connected vehicles	2	7,86819688189	50,7842088087	234,085064065	3,0	99,0	 
technolog	technology	technology|&|technologies|&|Technology|&|Technologies|&|TECHNOLOGY|&|TECHNOLOGIES	1	452,742292201	986,401660424	2424,02770656	654,0	32984,0	 
interindustri	interindustry	interindustry	1	4,96427951974	34,3276206389	177,330457492	5,0	233,0	 
survey	survey	survey|&|surveys|&|Survey	1	123,11413209	405,665796962	247,173460806	130,0	7036,0	 
analysi impact	impact analysis	impact analysis|&|Impact Analysis|&|analysis of the impact	2	9,44183625827	54,3964683888	155,888727748	14,0	709,0	 
implement	implementation	implementation|&|Implementation|&|implementations|&|IMPLEMENTATION|&|implement	1	180,699774519	534,381907164	239,119389461	195,0	11172,0	 
electron paramagnet reson spectroscopi	electron paramagnetic resonance spectroscopy	electron paramagnetic resonance spectroscopy|&|Electron paramagnetic resonance spectroscopy	4	11,9142708474	68,0418314497	281,880655271	5,0	249,0	 
econom input-output	economic input-output	economic input-output	2	6,29455750551	38,8165356986	182,015995078	4,0	259,0	 
potenti synergi	potential synergies	potential synergies	2	6,29455750551	40,627367047	155,561938225	3,0	251,0	 
applic manur	manure application	manure application|&|manure applications	2	9,44183625827	56,1179186744	199,68827837	6,0	346,0	 
e-commerc	e-commerce	e-commerce	1	4,96427951974	31,7917394567	212,492197059	5,0	236,0	 
distribut pattern	distribution pattern	distribution pattern|&|distribution patterns	2	6,29455750551	38,8165356986	212,936584469	4,0	286,0	 
foundat	foundation	foundation|&|foundations|&|Foundation	1	27,7999653106	131,151908548	215,095337464	27,0	1585,0	 
household wast	household waste	household waste	2	6,29455750551	38,8165356986	157,709253153	4,0	167,0	 
inform infrastructur	information infrastructure	information infrastructure|&|information infrastructures	2	9,44183625827	56,1179186744	428,932799863	8,0	250,0	 
practition	practitioners	practitioners|&|Practitioners|&|practitioner	1	28,7928212145	138,05183078	201,592784916	28,0	1649,0	 
motor	motor	motor|&|motors|&|motorization	1	20,8499739829	115,271805321	211,12772372	35,0	1866,0	 
cloud	cloud	cloud|&|Cloud|&|clouds	1	29,7856771185	146,619842267	160,725444911	27,0	1139,0	 
commun technolog	communication technology	communication technology|&|communication technologies|&|Communication Technologies|&|Communication Technology|&|communications technology|&|communications technologies|&|Communications Technology|&|Communication technology|&|communication and technology|&|Communication and Technology	2	75,5346900662	278,101774749	6780,17620593	200,0	9123,0	 
metaphor	metaphor	metaphor|&|metaphors	1	14,8928385592	85,0522893122	288,528105764	11,0	523,0	 
develop model	development model	development model|&|model development|&|development of the model	2	12,589115011	70,588003881	186,807409246	10,0	388,0	 
commun	communication	communication|&|community|&|communities|&|communications|&|Communication|&|Communications|&|Community|&|Communities|&|COMMUNITIES|&|COMMUNICATION	1	283,956788529	736,30060737	3711,21249897	477,0	22359,0	 
live	lives	lives	1	12,9071267513	70,325615254	180,585516887	13,0	762,0	 
websit	websites	websites|&|website	1	6,94999132764	42,1699561128	173,99301289	7,0	374,0	 
advoc	advocates	advocates|&|advocate	1	5,95713542369	37,0639731435	181,281807793	6,0	298,0	 
consumpt energi primari	primary energy consumption	primary energy consumption|&|consumption of primary energy	3	7,94284723159	47,1336161053	233,070979372	4,0	194,0	 
stage	stage	stage|&|stages	1	87,3713195475	319,501929505	321,480141913	135,0	8371,0	 
commut	commuter	commuter|&|commuters|&|Commuter|&|commutes	1	18,864262175	100,084099693	279,218485326	24,0	1193,0	 
hydro	hydro	hydro	1	6,94999132764	42,1699561128	208,357593414	9,0	546,0	 
megaterium	megaterium	megaterium	1	5,95713542369	43,6085553253	170,855079943	2,0	74,0	 
china east sea	East China Sea	East China Sea	3	7,94284723159	52,6391782695	226,836182813	2,0	49,0	 
src	SRC	SRC	1	5,95713542369	41,1931447667	170,985305274	3,0	181,0	 
characterist emiss	emission characteristics	emission characteristics	2	7,86819688189	46,7649322286	231,28122293	5,0	310,0	 
form other	other forms	other forms	2	7,86819688189	48,5206696233	202,151350634	4,0	192,0	 
allianc	alliances	alliances|&|alliance	1	5,95713542369	39,4793837021	193,21683966	7,0	216,0	 
proton	proton	proton|&|protons|&|protonation	1	6,94999132764	43,2413020008	186,834359532	10,0	512,0	 
inform network	information network	information network|&|information networks	2	6,29455750551	38,8165356986	237,943830738	6,0	310,0	 
iii	III	III|&|iii	1	86,3784636436	330,301100939	285,341993542	71,0	4102,0	 
network social	social networks	social networks|&|social network	2	20,4573118929	103,679086782	270,030433579	12,0	591,0	 
manag process wast	waste management processes	waste management processes	3	5,95713542369	37,0639731435	161,244266763	3,0	248,0	 
account	account	account|&|accounts	1	167,792647767	500,54214412	191,998592367	179,0	11109,0	 
analysi economy-wid flow materi	economy-wide material flow analysis	economy-wide material flow analysis	4	15,8856944632	83,2561078822	4504,13467092	8,0	55,0	 
role teacher	teacher role	teacher role|&|role of teachers|&|role of teacher|&|role that teachers	2	6,29455750551	38,8165356986	168,136075091	4,0	194,0	 
electron wast	electronic waste	electronic waste|&|waste electronics	2	17,3100331402	89,2346278655	261,623981676	11,0	404,0	 
inform qualiti	quality information	quality information|&|Quality Information|&|quality of the information	2	7,86819688189	46,7649322286	183,977984072	5,0	307,0	 
properti redox	redox properties	redox properties	2	6,29455750551	40,627367047	198,157564085	3,0	165,0	 
carbon monoxid	carbon monoxide	carbon monoxide|&|Carbon Monoxide	2	48,7828206677	207,675282091	358,476284974	29,0	1416,0	 
ch4	CH4	CH4|&|ch4	1	33,7571007343	166,169154569	473,121581336	30,0	1904,0	 
inciner	incineration	incineration|&|incinerators|&|incinerator	1	35,7428125422	169,972827888	309,414705732	34,0	1624,0	 
employe	employees	employees|&|employee|&|Employees	1	28,7928212145	140,452622539	162,577684874	24,0	1297,0	 
manag sustain	sustainable management	sustainable management	2	6,29455750551	38,8165356986	159,646620282	5,0	221,0	 
citi lijiang	Lijiang City	Lijiang City	2	6,29455750551	43,1795904865	221,037579609	2,0	86,0	 
process	process	process|&|processes|&|Process|&|Processes|&|PROCESSES|&|PROCESS	1	610,606380929	1157,36782395	236,480414374	743,0	40239,0	 
car station	station cars	station cars|&|station car	2	14,1627543874	81,5947025831	281,094838002	6,0	243,0	 
road transport	road transport	road transport|&|road transportation	2	20,4573118929	105,459105659	237,635653614	11,0	512,0	 
tax	tax	tax|&|taxes|&|TAX	1	24,8213975987	127,164129008	262,544827361	37,0	1595,0	 
non-intervent scenario	non-intervention scenario	non-intervention scenario|&|scenario of non-intervention	2	6,29455750551	43,1795904865	269,170675793	2,0	156,0	 
attent focu	focus attention	focus attention|&|focus of attention	2	6,29455750551	40,627367047	155,186167412	3,0	155,0	 
mitig strategi	mitigation strategies	mitigation strategies|&|mitigation strategy|&|strategies for mitigation	2	12,589115011	68,9069618216	163,236355451	8,0	558,0	 
develop polici sustain	sustainable development policy	sustainable development policy|&|policy of sustainable development	3	7,94284723159	47,1336161053	159,674237482	4,0	224,0	 
chines govern	Chinese government	Chinese government	2	7,86819688189	48,5206696233	216,233660533	4,0	219,0	 
surfac	surface	surface|&|surfaces|&|Surface|&|SURFACE	1	116,164140762	404,360149954	294,652351103	153,0	8687,0	 
design product	product design	product design|&|product designers|&|design products|&|Product Design|&|designing products|&|design a product|&|design of products	2	80,2556081953	308,133742457	502,840598733	42,0	2349,0	 
crystal liquid	liquid crystals	liquid crystals	2	9,44183625827	64,7693857297	186,264342348	2,0	47,0	 
r22	R22	R22	1	7,94284723159	58,1447404337	166,726699752	2,0	101,0	 
delay	delay	delay|&|delays	1	19,857118079	104,070134853	173,665030271	18,0	833,0	 
co2 tax	CO2 tax	CO2 tax|&|CO2 taxes|&|taxes on CO2	2	14,1627543874	87,3372053219	188,471272245	4,0	223,0	 
adapt polici	adaptation policy	adaptation policy	2	6,29455750551	43,1795904865	189,201295689	2,0	135,0	 
carrier	carriers	carriers|&|carrier	1	16,8785503671	90,7134309608	170,307770263	22,0	1141,0	 
forest	forest	forest|&|forests|&|Forest|&|FOREST|&|Forestation|&|Forests|&|forestation	1	112,192717146	419,249731975	199,036130236	118,0	5748,0	 
democraci	Democracy	Democracy|&|democracy	1	4,96427951974	32,8994864184	198,325361285	4,0	232,0	 
metabol societ	societal metabolism	societal metabolism	2	6,29455750551	38,8165356986	157,005128018	4,0	65,0	 
ecosystem urban	urban ecosystems	urban ecosystems|&|urban ecosystem	2	9,44183625827	54,3964683888	282,110168769	6,0	213,0	 
stock	stock	stock|&|stocks|&|Stock|&|Stocks	1	73,4713368922	290,439122671	431,065620025	84,0	4706,0	 
ammonia volatil	ammonia volatilization	ammonia volatilization	2	6,29455750551	38,8165356986	158,004438348	4,0	167,0	 
river urban	urban river	urban river|&|urban rivers	2	6,29455750551	43,1795904865	187,065887657	2,0	26,0	 
farm	farm	farm|&|farms|&|Farm|&|FARMING	1	63,5427778527	270,205317372	156,516968241	63,0	4031,0	 
humid rel	relative humidity	relative humidity	2	12,589115011	77,6330713973	182,795464187	4,0	252,0	 
disast natur	natural disasters	natural disasters	2	9,44183625827	56,1179186744	162,73097018	5,0	204,0	 
condit hydrodynam	hydrodynamic conditions	hydrodynamic conditions	2	6,29455750551	40,627367047	163,110225218	3,0	122,0	 
output power	output power	output power|&|power output	2	11,0154756347	63,4625464536	187,940250618	7,0	450,0	 
soil type	soil types	soil types|&|soil type	2	11,0154756347	63,4625464536	232,24134966	6,0	340,0	 
insul materi	insulation materials	insulation materials|&|insulating materials	2	12,589115011	77,6330713973	160,127342362	4,0	217,0	 
practic use	practical use	practical use|&|use practice|&|use in practice	2	6,29455750551	38,8165356986	182,625390692	4,0	176,0	 
end-of-lif strategi	end-of-life strategies	end-of-life strategies|&|end-of-life strategy	2	18,8836725165	121,882101141	261,43316025	3,0	118,0	 
issu	issues	issues|&|issue|&|Issues|&|Issue|&|ISSUES	1	216,442587061	609,294599517	324,884897228	286,0	16928,0	 
off-peak	off-peak	off-peak	1	4,96427951974	31,7917394567	188,136945909	5,0	275,0	 
environment scienc	environmental science	environmental science|&|environmental sciences	2	11,0154756347	61,7645033959	245,245050215	9,0	445,0	 
effici materi	material efficiency	material efficiency|&|Material efficiency|&|materials efficiency	2	31,4727875276	156,987120225	273,582187288	13,0	557,0	 
carbon dioxid emiss	carbon dioxide emissions	carbon dioxide emissions|&|Carbon Dioxide Emissions|&|carbon dioxide emission|&|emissions of carbon dioxide|&|emission of carbon dioxide	3	63,5427778527	249,036393813	404,673164262	31,0	1555,0	 
analysi spectral	spectral analysis	spectral analysis	2	6,29455750551	38,8165356986	212,342581382	4,0	143,0	 
agenda	agenda	agenda|&|Agenda|&|agendas	1	32,7642448303	151,119834487	254,748925526	43,0	2320,0	 
circular develop economi	circular economy development	circular economy development|&|development of circular economy	3	5,95713542369	37,0639731435	259,844625434	3,0	127,0	 
dynam model	dynamic model	dynamic model|&|model of the dynamics|&|dynamics model	2	9,44183625827	54,3964683888	158,779648577	6,0	321,0	 
ga natur plant power	natural gas power plants	natural gas power plants	4	5,95713542369	37,0639731435	156,246491891	3,0	202,0	 
c&d debri	C&D debris	C&D debris	2	7,86819688189	59,4283065929	157,056416144	1,0	59,0	 
commun environ	communication environment	communication environment|&|environment community|&|community and environment	2	6,29455750551	38,8165356986	154,09260137	4,0	265,0	 
state unit	United States	United States	2	94,4183625827	334,773841441	504,918113189	60,0	3754,0	 
approach novel	novel approach	novel approach	2	11,0154756347	63,4625464536	164,882140384	6,0	398,0	 
inform servic	information services	information services|&|information service|&|information and services|&|services and information	2	14,1627543874	79,4115043661	308,645398359	8,0	314,0	 
cropland	cropland	cropland	1	10,9214149434	66,2670738916	192,322047628	7,0	272,0	 
meter	meters	meters|&|meter	1	7,94284723159	47,1336161053	176,865196774	18,0	1232,0	 
product resourc	resource productivity	resource productivity|&|Resource productivity|&|resource for the production|&|resource production	2	36,1937056567	183,43223046	296,47251228	15,0	655,0	 
develop econom	economic development	economic development|&|development economics|&|Economic Development|&|economical development	2	73,9610506898	280,443769562	291,66132828	47,0	2399,0	 
econom growth	economic growth	economic growth|&|Economic growth|&|Economic Growth	2	100,712920088	358,940092874	859,253602298	56,0	2684,0	 
h2o2	H2O2	H2O2	1	7,94284723159	49,418630858	233,30921606	6,0	273,0	 
consensu	consensus	consensus|&|Consensus	1	17,8714062711	94,8165154989	188,581900994	15,0	802,0	 
decay	decay	decay	1	6,94999132764	43,2413020008	154,254089978	6,0	346,0	 
co2 level	CO2 levels	CO2 levels|&|CO2 level|&|levels of CO2	2	15,7363937638	93,5298644573	184,189131132	5,0	301,0	 
innov technolog	technological innovation	technological innovation|&|technology innovation|&|technological innovations|&|innovative technologies|&|technology and innovation	2	33,046426904	155,971310012	479,949932867	17,0	813,0	 
sia	SIA	SIA	1	8,93570313554	61,78971715	168,20450921	3,0	222,0	 
electron microscopi	electron microscopy	electron microscopy	2	6,29455750551	38,8165356986	422,749909332	11,0	560,0	 
inform sourc	information sources	information sources|&|sources of information|&|information source|&|information on the sources	2	14,1627543874	75,8521998443	233,76623756	12,0	637,0	 
decad	decades	decades|&|decade|&|Decade	1	54,6070747172	228,524923557	188,789921156	100,0	5916,0	 
analysi power	power analysis	power analysis	2	6,29455750551	38,8165356986	161,299752259	4,0	240,0	 
tsp	TSP	TSP	1	7,94284723159	52,6391782695	159,628772749	4,0	334,0	 
sludg treatment	sludge treatment	sludge treatment	2	9,44183625827	56,1179186744	169,561988524	5,0	331,0	 
analys environment impact	analyse environmental impacts	analyse environmental impacts|&|analyses of environmental impact|&|environmental impact analyses	3	5,95713542369	37,0639731435	175,522311746	3,0	132,0	 
ecosystem impact	ecosystem impact	ecosystem impact|&|ecosystem impacts|&|impacts within the ecosystem	2	6,29455750551	38,8165356986	185,340619905	4,0	221,0	 
group work	group work	group work|&|Working Group	2	6,29455750551	38,8165356986	211,036374826	4,0	199,0	 
earth-contain rare wast	rare earth-containing waste	rare earth-containing waste	3	5,95713542369	39,4793837021	166,541515143	2,0	42,0	 
structur x-ray	x-ray structure	x-ray structure|&|X-ray structure	2	7,86819688189	46,7649322286	195,538099208	5,0	146,0	 
carbon organ	organic carbon	organic carbon|&|Organic Carbon	2	9,44183625827	54,3964683888	340,842822755	14,0	851,0	 
emiss environment	environmental emissions	environmental emissions	2	11,0154756347	61,7645033959	235,706811978	7,0	439,0	 
literaci	literacy	literacy	1	12,9071267513	75,0718856007	168,472567411	14,0	611,0	 
sector servic	service sector	service sector|&|services sectors|&|service sectors|&|services sector	2	25,1782300221	121,986670223	320,806062409	15,0	870,0	 
differ strategi	different strategies	different strategies|&|Different strategies	2	9,44183625827	54,3964683888	164,083080345	6,0	330,0	 
day	day	day|&|days	1	91,3427431633	354,994703742	224,440828599	68,0	4160,0	 
govern local	local government	local government|&|local governments|&|Local Government	2	15,7363937638	86,1337022771	186,614320261	8,0	477,0	 
convers energi	energy conversion	energy conversion	2	6,29455750551	38,8165356986	164,014656487	6,0	278,0	 
mode	mode	mode|&|modes|&|Mode	1	73,4713368922	285,539218227	194,402094109	101,0	5442,0	 
demand energi	energy demand	energy demand|&|energy demands|&|ENERGY DEMAND|&|energy demanding	2	78,6819688189	302,091904369	688,688765423	48,0	2775,0	 
societi	society	society|&|Society|&|societies|&|Societies	1	159,849800536	499,241007086	329,067972387	215,0	11558,0	 
activ mimet sod	SOD mimetic activity	SOD mimetic activity	3	5,95713542369	39,4793837021	181,868102497	2,0	94,0	 
cost opportun	opportunity cost	opportunity cost|&|opportunity costs	2	9,44183625827	58,224803548	204,300134007	4,0	134,0	 
buse transit	transit buses	transit buses	2	11,0154756347	67,9289374726	225,011814126	4,0	224,0	 
network sensor wireless	wireless sensor networks	wireless sensor networks|&|Wireless Sensor Networks|&|wireless sensor network	3	29,7856771185	141,64402324	326,083771411	13,0	520,0	 
recycl sector weee	WEEE recycling sectors	WEEE recycling sectors	3	5,95713542369	39,4793837021	194,782162522	2,0	106,0	 
black carbon	black carbon	black carbon|&|carbon black	2	9,44183625827	54,3964683888	187,091819955	6,0	283,0	 
nurs	nurses	nurses|&|nurse|&|Nurse	1	9,92855903949	60,2427944469	170,124558317	7,0	367,0	 
variabl	variables	variables|&|variability|&|Variability	1	94,3213108752	349,882281667	248,653452745	101,0	6282,0	 
indic perform	performance indicators	performance indicators|&|Performance Indicators	2	20,4573118929	102,041628146	355,328644246	17,0	911,0	 
phase use	use phase	use phase	2	36,1937056567	170,82572049	512,549844942	18,0	1131,0	 
amount increas	increasing amount	increasing amount|&|increase in the amount|&|increase the amount	2	9,44183625827	54,3964683888	169,80228759	6,0	351,0	 
discharg	discharge	discharge|&|discharges	1	52,6213629093	227,569390227	215,516571843	46,0	2604,0	 
materi properti	material properties	material properties|&|Material properties	2	9,44183625827	54,3964683888	213,063519785	6,0	405,0	 
rem	REM	REM	1	5,95713542369	43,6085553253	158,767690625	2,0	85,0	 
hardwar	hardware	hardware|&|Hardware	1	18,864262175	98,8666281101	178,885626997	16,0	866,0	 
industri other	other industries	other industries	2	6,29455750551	40,627367047	161,205242447	3,0	173,0	 
ece	ECE	ECE	1	4,96427951974	36,3404627711	173,32124713	2,0	91,0	 
other stakehold	other stakeholders	other stakeholders	2	7,86819688189	46,7649322286	166,5048041	5,0	404,0	 
knowledg transfer	knowledge transfer	knowledge transfer	2	6,29455750551	38,8165356986	177,126077745	4,0	169,0	 
eco	Eco	Eco|&|eco	1	7,94284723159	48,1942355575	158,16386978	9,0	431,0	 
problem seriou	serious problem	serious problem|&|serious problems	2	11,0154756347	63,4625464536	185,179577985	6,0	351,0	 
flow resourc	resource flows	resource flows|&|resource flow	2	15,7363937638	82,6222274877	261,730158309	11,0	648,0	 
assess model	assessment models	assessment models|&|assessment model|&|model for the assessment	2	7,86819688189	46,7649322286	156,980488124	5,0	287,0	 
air index qualiti	air quality index	air quality index	3	7,94284723159	49,418630858	177,259310563	3,0	148,0	 
materi new	new materials	new materials	2	14,1627543874	75,8521998443	162,575092062	9,0	564,0	 
qualit research	qualitative research	qualitative research	2	9,44183625827	58,224803548	231,321600606	4,0	162,0	 
ecolog field industri	field of industrial ecology	field of industrial ecology	4	5,95713542369	37,0639731435	249,418197941	3,0	187,0	 
releas	release	release|&|releases|&|RELEASE	1	82,4070400278	324,354098098	168,543945582	71,0	3971,0	 
data inventori	inventory data	inventory data	2	9,44183625827	54,3964683888	230,351577961	10,0	764,0	 
likelihood	likelihood	likelihood	1	10,9214149434	61,330756807	167,099407155	11,0	701,0	 
data qualiti	data quality	data quality|&|quality of data|&|quality of the data|&|quality data	2	15,7363937638	82,6222274877	163,734284535	10,0	569,0	 
magnet measur	magnetic measurements	magnetic measurements	2	7,86819688189	48,5206696233	263,920415363	4,0	163,0	 
focu main	main focus	main focus	2	11,0154756347	61,7645033959	250,245105693	7,0	361,0	 
privat vehicl	private vehicles	private vehicles|&|private vehicle	2	7,86819688189	48,5206696233	249,507388276	6,0	365,0	 
content energi	energy content	energy content	2	6,29455750551	40,627367047	192,731598044	4,0	241,0	 
attent	attention	attention|&|Attention	1	75,4570487001	279,905825334	180,956691237	128,0	7878,0	 
cool effect	cooling effect	cooling effect	2	7,86819688189	48,5206696233	198,563375158	4,0	152,0	 
florida	Florida	Florida	1	4,96427951974	32,8994864184	163,601616328	4,0	219,0	 
come decad	coming decades	coming decades	2	6,29455750551	38,8165356986	158,537769968	4,0	258,0	 
organis	organisations	organisations|&|Organisation|&|organisation	1	30,7785330224	144,084556013	224,866315543	33,0	1817,0	 
ltd	Ltd	Ltd	1	56,5927865251	224,700868699	173,83720043	75,0	4135,0	 
geometri	geometry	geometry|&|geometries	1	20,8499739829	105,69056821	328,028450734	30,0	1665,0	 
hydrolog	hydrology	hydrology|&|hydrologic	1	15,8856944632	87,8261373877	157,809600196	14,0	696,0	 
carbon organ soil	soil organic carbon	soil organic carbon	3	19,857118079	99,6391470057	244,411061962	10,0	703,0	 
softwar	software	software|&|Software	1	57,585642429	232,832883362	231,83329796	78,0	3728,0	 
exampl numer	numerical examples	numerical examples|&|numerical example	2	6,29455750551	38,8165356986	209,830005172	4,0	209,0	 
account environment	environmental accounts	environmental accounts|&|account environmental	2	9,44183625827	54,3964683888	159,920157753	6,0	332,0	 
manuscript	manuscripts	manuscripts|&|manuscript	1	5,95713542369	39,4793837021	179,540627574	4,0	137,0	 
e-busi	e-business	e-business|&|E-business	1	7,94284723159	48,1942355575	311,760033974	9,0	420,0	 
fuel price	fuel prices	fuel prices	2	11,0154756347	63,4625464536	187,506244867	6,0	386,0	 
shenyang	Shenyang	Shenyang	1	7,94284723159	54,9241930222	172,77912417	3,0	149,0	 
qualiti	quality	quality|&|Quality|&|qualities|&|QUALITY	1	134,035547033	439,279906451	418,758803322	376,0	19439,0	 
moieti	moiety	moiety|&|moieties	1	16,8785503671	88,4596146248	274,815459174	16,0	762,0	 
distanc educ	distance education	distance education	2	6,29455750551	38,8165356986	187,068408977	4,0	207,0	 
environment highest impact	highest environmental impact	highest environmental impact	3	13,8999826553	74,7051784383	184,814747522	7,0	503,0	 
counti xingguo	Xingguo County	Xingguo County	2	6,29455750551	43,1795904865	323,799355899	2,0	87,0	 
methodolog new	new methodology	new methodology	2	28,3255087748	137,235004	246,294557188	15,0	916,0	 
cost product	production costs	production costs|&|production cost|&|costs of production|&|cost of production	2	22,0309512693	111,65440115	250,223673612	12,0	719,0	 
commun inform	information communication	information communication|&|Information Communication|&|information and communication|&|Information and Communication|&|communication and information	2	7,86819688189	46,7649322286	730,816513569	18,0	900,0	 
result simul	simulation results	simulation results|&|Results of the simulations|&|Results of simulations	2	20,4573118929	102,041628146	297,719135082	13,0	837,0	 
electr interconnect	electricity interconnections	electricity interconnections	2	6,29455750551	38,8165356986	1073,0326731	4,0	12,0	 
prioriti	priority	priority|&|priorities|&|Priority	1	47,6570833896	202,653988029	191,528204408	69,0	4101,0	 
flow rate	flow rate	flow rate	2	20,4573118929	109,564288664	154,352720489	9,0	522,0	 
mechanical-biolog treatment	mechanical-biological treatment	mechanical-biological treatment	2	11,0154756347	65,4709051201	242,090762782	5,0	173,0	 
combust effici	combustion efficiency	combustion efficiency|&|efficiency of combustion	2	6,29455750551	43,1795904865	168,752387177	2,0	125,0	 
system	system	system|&|systems|&|System|&|Systems|&|SYSTEM|&|SYSTEMS	1	847,898941972	1403,86207132	183,143010188	1135,0	57170,0	 
messag	messages	messages|&|message	1	4,96427951974	31,7917394567	157,952860624	7,0	343,0	 
stakehold	stakeholders	stakeholders|&|stakeholder|&|Stakeholder	1	81,4141841238	319,077879573	298,639064069	80,0	4704,0	 
temperatur transit	transition temperature	transition temperature	2	6,29455750551	38,8165356986	456,857815268	8,0	337,0	 
educ system	education system	education system|&|educational systems	2	9,44183625827	56,1179186744	277,704145784	5,0	212,0	 
megac	megacities	megacities|&|megacity	1	12,9071267513	72,4818034991	232,40637748	13,0	699,0	 
privat use vehicl	use of private vehicles	use of private vehicles|&|use private vehicles	4	5,95713542369	37,0639731435	198,192536946	3,0	171,0	 
methodolog	methodology	methodology|&|methodologies|&|Methodology	1	263,106814546	718,369369887	435,843229736	254,0	14679,0	 
product site	production site	production site|&|production sites|&|site of production	2	7,86819688189	48,5206696233	169,171994743	4,0	331,0	 
argon	argon	argon	1	4,96427951974	31,7917394567	176,699900793	7,0	325,0	 
inciner municip solid wast	municipal solid waste incineration	municipal solid waste incineration|&|municipal solid waste incinerators	4	7,94284723159	47,1336161053	174,816780789	4,0	249,0	 
build consumpt energi	building energy consumption	building energy consumption	3	5,95713542369	37,0639731435	292,02290109	3,0	108,0	 
form variou	various forms	various forms	2	12,589115011	68,9069618216	206,765454982	8,0	475,0	 
plan process transport	transport planning process	transport planning process	3	5,95713542369	39,4793837021	195,528490666	2,0	117,0	 
characterist perform	performance characteristics	performance characteristics|&|performance and characteristics	2	6,29455750551	40,627367047	175,573404467	3,0	224,0	 
direct ecodesign	Ecodesign Directive	Ecodesign Directive|&|Directive on the Ecodesign	2	9,44183625827	56,1179186744	230,547891685	5,0	358,0	 
steel	steel	steel|&|Steel|&|steels	1	57,585642429	251,991957936	233,478035628	81,0	4040,0	 
ecodesign strategi	ecodesign strategy	ecodesign strategy|&|ecodesign strategies	2	14,1627543874	81,5947025831	270,448026868	6,0	381,0	 
emiss highest	highest emission	highest emission|&|highest emissions	2	6,29455750551	38,8165356986	191,846851306	4,0	241,0	 
health impact	health impacts	health impacts|&|health impact	2	26,7518693984	127,884311023	415,691836775	20,0	1058,0	 
structur	structure	structure|&|structures|&|Structure|&|Structures	1	253,178255507	682,421052689	217,670710563	290,0	14501,0	 
luminesc yellow	yellow luminescence	yellow luminescence	2	6,29455750551	43,1795904865	162,570629493	2,0	81,0	 
bev	BEVs	BEVs|&|BEV	1	8,93570313554	61,78971715	245,447866099	3,0	195,0	 
exhibit	exhibit	exhibit|&|exhibits	1	41,6999479659	182,476935057	261,643392217	39,0	2236,0	 
cycl life manag	life cycle management	life cycle management	3	9,92855903949	56,7015262081	227,311576428	8,0	395,0	 
volum wast	waste volumes	waste volumes|&|waste volume|&|volume of waste	2	6,29455750551	38,8165356986	155,303799639	4,0	285,0	 
c kg	kg C	kg C|&|C kg	2	7,86819688189	50,7842088087	187,750736491	3,0	184,0	 
partnership	partnership	partnership|&|partnerships|&|Partnership	1	17,8714062711	92,579674121	161,307296478	17,0	1063,0	 
exist research	existing research	existing research	2	6,29455750551	38,8165356986	156,36397558	4,0	206,0	 
futur scenario	future scenarios	future scenarios|&|future scenario	2	12,589115011	72,5286245184	230,625880723	7,0	498,0	 
effici energi use	energy use efficiency	energy use efficiency|&|efficiency in energy use	3	5,95713542369	37,0639731435	155,957118211	3,0	172,0	 
dimens sustain	dimensions of sustainability	dimensions of sustainability|&|sustainability dimensions	3	12,589115011	68,9069618216	176,887725148	8,0	473,0	 
develop process sustain	sustainable development process	sustainable development process|&|process of sustainable development|&|sustainable development as a process	3	11,9142708474	65,8696030408	168,942212072	6,0	324,0	 
ventil	ventilation	ventilation	1	22,8356857908	119,680655081	336,153289038	30,0	1443,0	 
red sand	Red Sand	Red Sand	2	15,7363937638	107,948976216	154,586327817	2,0	91,0	 
improv strategi	improvement strategies	improvement strategies	2	7,86819688189	48,5206696233	190,151846844	4,0	177,0	 
intens materi use	material use intensity	material use intensity	3	5,95713542369	39,4793837021	201,347422418	2,0	58,0	 
min	min	min	1	15,8856944632	86,5546033896	172,262308504	13,0	677,0	 
interfac user	user interface	user interface	2	7,86819688189	46,7649322286	227,502569155	5,0	183,0	 
xrd	XRD	XRD	1	8,93570313554	54,2185150022	323,840279673	7,0	334,0	 
ew-mfa	ew-mfa	ew-mfa|&|EW-MFA	1	17,8714062711	98,8044045612	1297,31227921	12,0	185,0	 
impur	impurity	impurity|&|impurities|&|IMPURITIES	1	19,857118079	101,731303206	178,537158347	19,0	701,0	 
mix	mix	mix|&|mixes	1	29,7856771185	139,436667109	228,44762002	45,0	2827,0	 
construct process	construction process	construction process|&|process of construction	2	11,0154756347	61,7645033959	270,708374861	7,0	358,0	 
mip	MIPS	MIPS|&|mips	1	8,93570313554	53,0253181185	270,010961736	8,0	302,0	 
crop residu	crop residue	crop residue|&|crop residues	2	14,1627543874	91,4115758557	159,831529528	3,0	172,0	 
graviti	gravity	gravity	1	4,96427951974	32,8994864184	164,820928857	4,0	160,0	 
